"model","S","N","lambda","alpha","iter","N_mean","N_sd","N_2.5","N_50","N_97.5","N_Rhat","N_n.eff","a_mean","a_sd","a_2.5","a_50","a_97.5","a_Rhat","a_n.eff","nbErrTot_mean","nbErrTot_sd","nbErrTot_2.5","nbErrTot_50","nbErrTot_97.5","nbErrTot_Rhat","nbErrTot_n.eff"
"LMM2",5,500,0.51,0.95,5,470.14275,18.8609877599362,436,469,510,1,2005,0.929800893658837,0.0128096276720877,0.904294779233563,0.929855641819374,0.95483583860976,1,2501,89.5789,13.7123949869749,61,90,115,1,1805
"LMM2",5,500,0.51,0.95,6,502.13975,21.456678200259,463,501,547,1,1826,0.950144908437008,0.0134288833835775,0.923697242359624,0.950168070087604,0.976232693221049,1,1929,62.36875,15.1920246615837,31,63,90.0249999999978,1,1644
"LMM2",5,500,0.51,0.95,7,481.0484,18.8625885631417,447,480,520,1,2161,0.946961166397151,0.0121844114212276,0.92321972683147,0.946981373325049,0.97081764815244,1,2458,68.49835,13.7370496324404,40.975,69,94,1,1905
"LMM2",5,500,0.51,0.95,8,488.86855,19.9913644764479,453,488,531,1,1996,0.940078541895736,0.0128908596721608,0.914954806021476,0.939994169468724,0.965210730622388,1,2380,76.6904,14.3602527374324,47,77,103,1,1719
"LMM2",5,500,0.51,0.95,9,492.7548,22.5520067091674,452,492,541,1,1680,0.946938764688683,0.0143592172754346,0.919332754598694,0.946783121708168,0.975157842495567,1,1846,63.73655,15.6625480005009,31,64,92,1,1435
"LMM2",5,500,0.51,0.95,10,490.75055,22.2388590768536,451,490,538,1,1652,0.932264253136294,0.0144061154546903,0.904197707108099,0.932106833982268,0.960822451910386,1,2014,82.95875,15.588030593131,50,84,112,1,1546
"LMM2",7,500,0.11,0.8,1,288.8067,84.8611513347556,171,273,502.024999999998,1.08,197,0.604112035739848,0.0752337734729326,0.480426130362028,0.596506177380559,0.774562261005197,1.04,236,156.68995,28.4532300154555,90,160,202,1.05,221
"LMM2",7,500,0.11,0.8,2,239.25355,66.3327246833393,143,228,395,1.02,207,0.598591809052466,0.0704108705056981,0.479006956745337,0.592114398692888,0.753137546796439,1.01,280,151.9832,25.1481478289547,95,155,192,1.02,233
"LMM2",7,500,0.11,0.8,3,163.8754,46.614225501889,100,155,280,1.23,131,0.501235678086377,0.0599015434093737,0.400340724636219,0.495472510616226,0.635837938998812,1.17,194,175.55355,19.0973104850104,131,178,205,1.21,138
"LMM2",7,500,0.11,0.8,4,285.2125,91.2571434851094,162,269,499,1.08,188,0.627172336309318,0.0834339325956112,0.4908168886359,0.61824647641124,0.814035077953569,1.04,220,141.07765,30.3335544686711,73,145,188,1.05,211
"LMM2",7,500,0.11,0.8,5,220.2169,56.6559109802539,136,211,356,1.03,191,0.54657988322651,0.0603909314452845,0.444118752776867,0.54086705134759,0.679017863280534,1.02,292,181.73945,22.2446983577605,132,185,217,1.03,224
"LMM2",7,500,0.11,0.8,6,278.50905,85.9545451229245,161,261,490,1.01,164,0.583860945191139,0.076308736144834,0.459177465454668,0.575075595810738,0.756484197066713,1.01,186,165.12235,28.940780205714,98,169,210,1.01,174
"LMM2",7,500,0.11,0.8,7,282.4102,85.8856259975885,160,267,497,1.02,199,0.614429596003558,0.0803989705670708,0.481248408642773,0.606527022767556,0.797387602625975,1.01,243,147.0086,29.3660542854707,77,150,193,1.01,221
"LMM2",7,500,0.11,0.8,8,193.49775,55.22109708631,116,184,326,1.06,175,0.523220867927857,0.0614256399885256,0.419629920396421,0.51814692513725,0.65549298503946,1.03,254,179.3139,21.2598698465747,131,182,214,1.04,211
"LMM2",7,500,0.11,0.8,9,297.79055,106.18031735537,159.975,276,558,1.04,171,0.601626109696417,0.090699393009537,0.455488775489524,0.591125883407137,0.807035996520947,1.04,222,143.9171,31.5062320775269,71,148,193,1.05,189
"LMM2",7,500,0.11,0.8,10,171.24745,38.2203408961826,115,166,261,1,220,0.51906995285924,0.0504073499579129,0.431651287080576,0.515314915739978,0.627418700804763,1,394,180.29,16.5752929692615,142,182,207,1,278
"LMM2",7,500,0.11,0.9,1,348.4189,89.090993838037,215,334,566,1.01,279,0.74692004743774,0.080073534067074,0.607263021373025,0.740005324691799,0.923178225359962,1,301,99.78875,30.7032450711711,31,103,151,1,279
"LMM2",7,500,0.11,0.9,2,325.29,83.7824813144655,203,310,530,1.01,291,0.756885897878459,0.0809540252799723,0.619898685314638,0.748526339173757,0.937547243347791,1.01,334,91.6575,29.7389074089936,24,95,140,1.01,302
"LMM2",7,500,0.11,0.9,3,204.45865,54.9459192559342,124,196,334,1.03,286,0.594292464395157,0.0677177953674221,0.478162268607608,0.58821738957638,0.74254595315888,1.03,368,142.6052,22.1061545064571,93,145,179,1.03,316
"LMM2",7,500,0.11,0.9,4,332.54205,83.3502549189098,208,318.5,539,1.04,304,0.768674609206181,0.0810611102013465,0.629212121488752,0.760873551274182,0.952715020034375,1.03,344,87.14885,29.7719736026705,17.975,90,136,1.03,315
"LMM2",7,500,0.11,0.9,5,246.9491,58.7600089016527,162,236,387,1,313,0.633308302372455,0.0626139141710714,0.526980498811538,0.627453748220206,0.7715550615993,1,381,146.80945,23.4465120571031,94,150,184,1.01,318
"LMM2",7,500,0.11,0.9,6,350.18875,96.5761211210931,209,334,583,1.01,213,0.732363212410975,0.0844679617734707,0.587628260468641,0.724453362240671,0.915965381010272,1.01,225,105.764,32.4642326310051,34,109,159,1.01,240
"LMM2",7,500,0.11,0.9,7,316.5796,80.5927951107988,195,303,510,1.04,280,0.737539350472837,0.0799114599199566,0.598626137304885,0.730380041522136,0.915486230091804,1.03,317,99.7831,29.4562512537983,32,103,149,1.03,283
"LMM2",7,500,0.11,0.9,8,237.6263,63.9537375947459,152,224,393,1.03,238,0.631577224304079,0.0695781065666913,0.519206292211781,0.622730190019781,0.785800323828263,1.01,333,138.2717,24.6504130037016,81.975,142,176,1.02,293
"LMM2",7,500,0.11,0.9,9,291.9652,85.1409398464798,168,277,513,1,235,0.678223107887766,0.0834484101393041,0.536684455630765,0.670103094485639,0.870562508774762,1,279,116.19175,29.0291580404656,47,120,163,1,266
"LMM2",7,500,0.11,0.9,10,242.39315,56.3019535946705,156,234,374,1.02,368,0.675658162503416,0.0653219287340445,0.561947939778019,0.670696540504914,0.81693210740088,1.03,443,121.3694,22.8272161625084,71,124,160,1.03,406
"LMM2",7,500,0.11,0.95,1,380.56995,84.0728470980878,244,372,561,1,327,0.829432234214562,0.0764115053800032,0.688082363055535,0.826111271340458,0.978081078476677,1,352,66.9271,29.5895279211773,8,69,120,1,330
"LMM2",7,500,0.11,0.95,2,334.8036,82.3006069025911,211,321,526,1,317,0.784761821158695,0.080131645970282,0.647296001474884,0.776608095848505,0.958333543187913,1,328,81.09435,29.5507988142965,15,85,130,1,312
"LMM2",7,500,0.11,0.95,3,261.7874,66.6124550080397,159,252,420,1.01,349,0.715335680820047,0.076572763688885,0.580784414722611,0.709460935138887,0.881611817435686,1.01,375,99.66245,25.7470144955735,43,102,143,1.01,370
"LMM2",7,500,0.11,0.95,4,373.80105,79.362265513006,240,369,535,1.01,399,0.851108302360259,0.0757044771735614,0.706417857656434,0.851313800784872,0.986976559417659,1.01,401,55.783,28.0746704407375,5,56,108,1.01,377
"LMM2",7,500,0.11,0.95,5,278.3373,62.1249394697106,184,269,427,1.01,353,0.716958232770899,0.0662930572191762,0.59974766809473,0.711853376265919,0.863455431646365,1.01,405,113.1478,25.1428093737188,56,116,155,1.01,355
"LMM2",7,500,0.11,0.95,6,346.84165,81.2426507057234,220,337,536,1.02,315,0.786328270611256,0.0770193177893244,0.648303818267922,0.782877039464519,0.948577750957519,1.01,328,84.3062,29.6478598104411,20,86,136,1.02,311
"LMM2",7,500,0.11,0.95,7,363.07775,77.21554323414,234,356,526,1,386,0.838566382105207,0.0750593387654613,0.699508742610382,0.836282819608906,0.982662885293627,1,406,61.00065,27.9486655490526,6,62,111,1,357
"LMM2",7,500,0.11,0.95,8,255.3008,61.1264397903401,164,245,401,1.05,351,0.688201811174397,0.068719398367202,0.568082628497334,0.682104981915527,0.838205114209661,1.03,435,116.82735,24.3035568409494,62,120,157,1.04,386
"LMM2",7,500,0.11,0.95,9,300.62145,82.2130561360388,185,284,504,1.01,284,0.724459834674866,0.0828679934914349,0.585633373061541,0.714708136776693,0.9124577730652,1.01,334,99.3333,29.0093258825401,32,103,145,1.01,295
"LMM2",7,500,0.11,0.95,10,242.14865,55.5129573847348,160,234,373,1.01,376,0.695569000394093,0.0658017541157142,0.582688193140607,0.689987230135386,0.839182490851106,1.01,495,113.80975,23.1546660927251,62,116,151,1.01,404
"LMM2",7,500,0.23,0.8,1,447.1599,56.2163725796791,353,441,576,1,325,0.753067151806854,0.0380531337223672,0.683859068518755,0.751001477947874,0.833022088303254,1,404,197.8951,28.1177155239595,137,200,247,1,323
"LMM2",7,500,0.23,0.8,2,575.467,75.3632277162051,446.975,569,746.024999999998,1.01,319,0.848078167945613,0.0444933498266233,0.765670765294063,0.846049815863592,0.94311467663461,1.01,320,118.34,33.3978318272091,46,120,179,1.01,289
"LMM2",7,500,0.23,0.8,3,470.61335,56.951721894152,376,464,595,1.02,335,0.765459237211531,0.0368787077752116,0.697716883376504,0.763879039400948,0.842234466686773,1.01,436,190.11,27.4811637438817,132,192,239,1.02,361
"LMM2",7,500,0.23,0.8,4,362.9349,42.3680341118835,292,359,457,1.1,261,0.666423927894637,0.0325619542580971,0.605928676452676,0.665316073978675,0.733539004489716,1.06,437,266.5231,22.4776206161023,219,268,306,1.09,310
"LMM2",7,500,0.23,0.8,5,460.7723,59.2129585600405,361,455,594,1,314,0.742824934367652,0.0391300313820176,0.670778562175825,0.740900461799306,0.824816704286071,1,426,201.5131,28.2810717502178,140,204,252,1,358
"LMM2",7,500,0.23,0.8,6,479.8389,50.2964067624782,394,476,590,1.06,489,0.809751625717278,0.0334202702611141,0.748256572438643,0.808432865447665,0.878994412520999,1.04,550,162.51875,26.2366016549556,106,164,208,1.05,486
"LMM2",7,500,0.23,0.8,7,436.13915,51.9863579831124,347,432,553,1.02,356,0.758539719041345,0.0360174480673529,0.691330453632214,0.757194604003834,0.833474534450499,1.02,465,190.5972,25.972284846332,135,192,237,1.02,369
"LMM2",7,500,0.23,0.8,8,541.266,69.2527576434474,420,536,695,1.01,403,0.854718293479057,0.0437373983613643,0.772890154661961,0.853138545653665,0.945731190470962,1.01,399,108.39955,31.4814654031653,42,110,165,1.02,354
"LMM2",7,500,0.23,0.8,9,461.4154,50.8481948527771,377,456,574.024999999998,1.02,438,0.780435220932665,0.0347344158473253,0.716186483235404,0.778959484198219,0.851845688885813,1.02,502,178.72445,25.8228748058899,124,181,224,1.03,418
"LMM2",7,500,0.23,0.8,10,416.4357,48.0106791951107,330,414,518,1.03,447,0.760537220969179,0.0359275763084833,0.6916878512437,0.759745742764491,0.833776380367577,1.02,523,181.7768,24.699621157505,131,183,228,1.03,418
"LMM2",7,500,0.23,0.9,1,474.05995,46.9572231401917,393,470,579,1.01,631,0.871022237875228,0.0332907566533379,0.808839236058269,0.869859052782852,0.940685410010683,1.01,649,102.8938,24.9983772974042,49,104,148,1.01,583
"LMM2",7,500,0.23,0.9,2,548.041,47.6763858832498,456,549,635,1,713,0.946604632180111,0.030688038267401,0.88230995295194,0.948809904604808,0.996279374156032,1.01,674,40.91685,23.2974027420703,2,40,88.0249999999978,1.01,660
"LMM2",7,500,0.23,0.9,3,455.90355,43.2799399844518,379,453,550,1.05,630,0.856847654693946,0.0315452696397704,0.797442364420513,0.856061394455551,0.922272537285351,1.04,653,115.6493,23.5809247594454,65,117,158,1.05,591
"LMM2",7,500,0.23,0.9,4,429.0408,40.7368249843491,358,426,520,1.02,648,0.838815911808401,0.030710701974763,0.781181043852772,0.837870644747825,0.903393436622747,1.02,738,128.2423,22.3017747986109,79,129.5,168,1.02,608
"LMM2",7,500,0.23,0.9,5,475.3691,52.8378752150658,386,471,594,1.01,490,0.840852094104196,0.036704723791585,0.773875502774799,0.839303911782328,0.918025813597729,1.01,531,124.4103,27.0049443113824,66,126,172,1.01,497
"LMM2",7,500,0.23,0.9,6,457.0095,39.3394724094576,389,454,543,1.01,708,0.881551193940861,0.0282992650032603,0.828792733877757,0.8801987018539,0.940380492432541,1.01,790,100.8861,22.4976384088797,52,102,141,1.01,667
"LMM2",7,500,0.23,0.9,7,459.3913,47.3827673383692,380,455,567,1.03,502,0.855629882272383,0.0341914673950664,0.793183059673729,0.853709405825673,0.927965792455312,1.03,558,113.52995,25.2317564801631,58,115,158,1.03,455
"LMM2",7,500,0.23,0.9,8,499.4585,53.9291748086764,403,497,611,1.01,546,0.897253295690482,0.0373606885428294,0.825537955106622,0.89698376343266,0.970290697751712,1.01,573,76.37335,26.8583623543752,22,77,127,1.01,529
"LMM2",7,500,0.23,0.9,9,525.9974,51.4899257511864,435,523,634,1,553,0.916871310762734,0.0339663276785865,0.852617884075199,0.916214424079602,0.984783290859968,1,566,67.0892,26.7738881265734,13,68,116,1,486
"LMM2",7,500,0.23,0.9,10,491.87855,51.3611224384982,401.975,488,602,1,508,0.902610556747562,0.0362154275806498,0.833992476829647,0.901610196746228,0.975648155674005,1,539,73.24815,26.4438014534459,19,75,122,1.01,505
"LMM2",7,500,0.23,0.95,1,476.84255,42.5466082101853,401,474,565,1,734,0.923868827792288,0.030519780374968,0.865908528204695,0.92351004411945,0.983367452342378,1,738,60.30695,23.4056707438315,13,61,103,1,684
"LMM2",7,500,0.23,0.95,2,524.08615,32.4251614912306,456,526,582,1,1625,0.970954832308866,0.0204664043937468,0.923948117865283,0.9741657954269,0.998753063125307,1,1429,21.8477,15.4775024588633,0,20,57,1,1307
"LMM2",7,500,0.23,0.95,3,472.8814,42.4235232130252,399,470,564,1.01,739,0.915791974451381,0.0304869598214892,0.858517972123702,0.914636503169307,0.977313054083958,1.01,724,67.6196,23.5341090452651,19,69,110,1.01,666
"LMM2",7,500,0.23,0.95,4,445.5283,39.1620017648372,377,442,530,1,805,0.911760022813843,0.0295617568685351,0.8563173572356,0.910383114326295,0.972690023608342,1,806,69.76695,22.3867995956838,22,71,110,1,697
"LMM2",7,500,0.23,0.95,5,465.52,45.5378445335771,387,462,565,1,642,0.891766270655539,0.0330200077928407,0.830187296434861,0.890643598225941,0.95921178939027,1,646,84.3196,24.5670497381481,32.975,86,128,1,622
"LMM2",7,500,0.23,0.95,6,445.87595,34.5077831938325,386,443,520,1,931,0.92308826440245,0.0257263880830737,0.874867084609629,0.922391698657291,0.975611512696501,1,1010,65.1764,20.731547768887,21,66,102,1,887
"LMM2",7,500,0.23,0.95,7,476.4955,41.1351380784025,401,475,559,1.01,809,0.932742300943509,0.02974080257006,0.87463845725512,0.932609227564245,0.989322239317041,1.01,798,52.2667,22.4852585142471,8,53,95,1.01,739
"LMM2",7,500,0.23,0.95,8,494.55095,44.7998767358268,409,494,580,1,791,0.939634326005688,0.0317364802235538,0.874514741794774,0.941184976740471,0.994348916235065,1,752,44.47125,23.0274963188975,4,44,90,1,690
"LMM2",7,500,0.23,0.95,9,503.77445,42.4061114830405,426,502,587,1,763,0.939839728888996,0.0290321498514559,0.882176453064775,0.940219380504309,0.993036211426107,1,753,48.3161,22.830749942723,5,49,92,1,697
"LMM2",7,500,0.23,0.95,10,484.52835,42.0034214159755,405,483,566,1,823,0.94057551933787,0.0301545799616455,0.879763125452575,0.94146267629313,0.993939374900288,1,816,44.39825,22.0298777280569,4,44,87,1,729
"LMM2",7,500,0.36,0.8,1,500.022,32.4866570324535,442,498,570,1.01,525,0.784411712594625,0.0205965886528338,0.744808250124674,0.783876281295531,0.825423808750205,1.01,839,261.23815,20.4615583068816,218,262,299,1.01,506
"LMM2",7,500,0.36,0.8,2,449.0756,26.4813660481741,401,448,504,1,501,0.759156881114905,0.0188519638024897,0.721946195400171,0.759068788029061,0.796354649265094,1,937,295.13325,17.3684045758779,259,296,327,1,528
"LMM2",7,500,0.36,0.8,3,507.5452,30.4178322565228,453,506,570,1.02,638,0.801882869367959,0.0192640918639683,0.764530742290813,0.801767230973854,0.840177385949199,1.01,1015,247.3133,19.3515029685902,208,248,283,1.01,664
"LMM2",7,500,0.36,0.8,4,499.7956,28.8723570442398,447,498,561,1.03,601,0.792766396612648,0.0181773057583787,0.757721074334943,0.792490171208309,0.8291340567668,1.02,1010,267.3882,18.7499727688853,228,268,302,1.03,646
"LMM2",7,500,0.36,0.8,5,543.8821,34.2877045298179,482,542,616,1.01,665,0.827015142842522,0.0200425550357996,0.788591567940253,0.826748864927813,0.867110713885791,1.01,874,215.89235,21.3368935093357,172,217,254,1.01,621
"LMM2",7,500,0.36,0.8,6,491.9121,27.5363230305773,441,490,549,1.02,584,0.786210284720684,0.0180191498570959,0.751038064046781,0.786022382612357,0.82185980940449,1.01,978,276.6908,18.1248426436216,240,277,310,1.03,624
"LMM2",7,500,0.36,0.8,7,434.8345,23.9999251992684,393,433,487,1.04,566,0.763866198645017,0.0177242026165411,0.729796493510558,0.763697098710251,0.799384803983969,1.03,1238,289.30805,16.1309164501207,256,290,318,1.04,649
"LMM2",7,500,0.36,0.8,8,520.1778,32.9774796318358,462,518,591,1.01,549,0.806495926107831,0.0203339645866191,0.767856221462532,0.805923577308005,0.847425841088409,1.01,813,238.3191,20.8350085209727,195,240,276,1.02,557
"LMM2",7,500,0.36,0.8,9,534.68685,36.3973587704352,469,532,612,1.03,535,0.814535992115839,0.0216676660685868,0.772982170445721,0.814063047273074,0.857264630989207,1.03,763,220.80425,22.2235151622962,174,222,262,1.04,581
"LMM2",7,500,0.36,0.8,10,469.20735,22.7907004451122,427.975,468,518,1.02,745,0.808613273266586,0.0160609948878746,0.777449827651361,0.80849024905779,0.840211607998518,1.02,1391,251.96315,15.6758214663995,219.975,253,281,1.03,840
"LMM2",7,500,0.36,0.9,1,518.3083,28.8426584429609,467,516,580,1.01,965,0.896528196415817,0.0178222879129168,0.862672684442477,0.896265943830501,0.93223120064737,1.01,1194,124.80795,19.0512418043605,85,126,159,1.01,902
"LMM2",7,500,0.36,0.9,2,479.74925,23.7850154674227,438,478,531,1.01,1325,0.891868158710096,0.016077816281009,0.860492214807026,0.891655497391474,0.924050890079788,1.01,1657,132.008,16.4267168920449,97,133,162,1.02,1188
"LMM2",7,500,0.36,0.9,3,501.4097,25.7908453582897,455,500,556,1,1136,0.892104027142491,0.0165592795498634,0.860209004034933,0.891874474236664,0.925375104894429,1,1399,134.27245,17.6271993494527,97,135,166,1.01,1093
"LMM2",7,500,0.36,0.9,4,504.85935,24.0888974701327,461,504,556,1.01,1322,0.905357117618432,0.0153116593499179,0.875880677274811,0.905257731629506,0.936216644029634,1,1576,121.65835,16.7471803202788,87,122,152,1.01,1139
"LMM2",7,500,0.36,0.9,5,544.86405,28.4138123952813,493,543,605,1,1129,0.922423726717795,0.0168325045021488,0.890148605199647,0.922249315198292,0.956234105848615,1,1338,96.39855,18.8694146872136,57,97,131,1,1043
"LMM2",7,500,0.36,0.9,6,493.5877,22.7182462933593,452,493,541,1.02,1304,0.890853062167397,0.0149122993504284,0.862039735149493,0.890700019713587,0.920393306247161,1.01,1825,140.73095,15.7815181434881,108,141,170,1.02,1291
"LMM2",7,500,0.36,0.9,7,481.2384,24.5104386643768,438,480,534,1.01,1192,0.880062746352986,0.0164628832842811,0.848861920803272,0.87993456249306,0.912868501798253,1.01,1665,146.51385,16.8017505968472,110,147,177,1.01,1170
"LMM2",7,500,0.36,0.9,8,508.3832,26.9128384382555,460,507,565,1.02,1083,0.890973143587944,0.0170363592780175,0.857981447825957,0.890716217624962,0.924840776897644,1.01,1387,133.75045,17.9718063668821,96,135,167,1.02,1117
"LMM2",7,500,0.36,0.9,9,524.40745,29.2189565499624,472,523,586,1.01,1094,0.910276014205022,0.0179854208457926,0.875937680007863,0.910033928530676,0.946506222139802,1,1231,106.3873,19.187050473048,66.975,107,141.024999999998,1.01,1043
"LMM2",7,500,0.36,0.9,10,473.0489,20.3040149093984,435,472,515.024999999998,1,1381,0.888370880057106,0.0140710442768715,0.860486690909159,0.888269288236569,0.915815242307781,1,2080,146.4525,14.6101614156323,116,147,174,1.01,1345
"LMM2",7,500,0.36,0.95,1,517.147,25.473133592606,471,516,570,1.01,1434,0.950463057158838,0.0155836211695719,0.920551905934446,0.950084967316321,0.98172404153775,1.01,1473,59.2039,17.404090608489,22,60,91,1.01,1223
"LMM2",7,500,0.36,0.95,2,483.2825,22.1430510428322,443,482,530,1,1553,0.940679068630014,0.0143500358575288,0.913032581754027,0.940466881944719,0.96909945850151,1,1872,71.94925,15.6457826254617,40,73,100,1,1512
"LMM2",7,500,0.36,0.95,3,500.6798,23.0319385955628,458,500,548,1,1549,0.94831712549279,0.014287532777869,0.920507004815494,0.948275258608608,0.976318347009199,1.01,1692,63.84935,16.1931487203933,31,64,94,1.01,1424
"LMM2",7,500,0.36,0.95,4,493.26105,20.5893054490054,456,492,536,1,1898,0.948577145936601,0.0130004105695456,0.923043948347634,0.948591057173644,0.974336377821331,1,2082,65.61035,14.8204961196568,35,66,93,1,1649
"LMM2",7,500,0.36,0.95,5,545.34495,22.8354271327277,501,545,589,1,1740,0.974870912649583,0.013014083007566,0.947843541419354,0.975472214256579,0.997250186850213,1,1648,30.5822,15.3613033835701,3,30,61,1,1522
"LMM2",7,500,0.36,0.95,6,500.3995,20.9045509342461,463,499,545,1,1718,0.954879610013797,0.0129162358797276,0.929898350547903,0.95479978470072,0.980711927536711,1,1851,57.63335,15.0125975994108,26,58,85,1.01,1495
"LMM2",7,500,0.36,0.95,7,479.6636,21.7177673371575,440,479,525,1,1702,0.931279952782085,0.0144186712794388,0.903491724557241,0.931096126329687,0.959757563395207,1,2016,83.4543,15.3347275555668,51,84,111,1,1626
"LMM2",7,500,0.36,0.95,8,500.04395,23.7911184954273,457,499,550,1.01,1468,0.940234482742272,0.015036449530577,0.911069420089795,0.940167573191194,0.970121750161987,1.01,1704,72.8048,16.6279349701359,38,74,103,1.01,1332
"LMM2",7,500,0.36,0.95,9,527.51745,26.4571161400335,479,526,582,1,1311,0.958665429238064,0.0158477774304319,0.927695489486153,0.958648741992283,0.989251020632063,1,1389,48.45145,17.7327314699617,13,49,81,1.01,1218
"LMM2",7,500,0.36,0.95,10,493.4738,19.6568520661793,458,493,535,1,1881,0.954794432005765,0.012198841501937,0.930772682937737,0.954835778741215,0.979137284196288,1,2278,58.73275,14.3340678354937,28,59,85,1,1788
"LMM2",7,500,0.51,0.8,1,474.50025,14.4334166472567,448,474,504,1.02,507,0.781778637390193,0.0116785600438659,0.758761142877964,0.781779723379465,0.804610881324178,1,1739,388.7254,11.1613585031654,366,389,409,1.02,537
"LMM2",7,500,0.51,0.8,2,520.2528,18.7685776002141,486,519,560,1.01,580,0.804535291698686,0.0124058328674898,0.780092878824744,0.804578251542408,0.828920803147413,1,1501,339.9123,13.78846310492,312,340,366,1.01,634
"LMM2",7,500,0.51,0.8,3,476.6846,13.9589672067196,452,476,506,1.01,629,0.791581591085092,0.0112483524299938,0.769414715228424,0.791551233611143,0.81383233731038,1,2252,377.9291,11.0355318103894,355,378,398,1,629
"LMM2",7,500,0.51,0.8,4,486.8015,14.3011406496543,460,486,516,1.04,644,0.803721453066163,0.0111216495868143,0.781925945911869,0.803749632502144,0.825297819151078,1.01,2147,358.84305,11.2496286340803,336,359,380,1.03,590
"LMM2",7,500,0.51,0.8,5,498.8266,15.0290860038562,471,498,530,1.02,686,0.799741000843964,0.0111586974690218,0.777811141110859,0.79982954541774,0.821522396014599,1,2391,367.53765,11.6324308787935,344,368,390,1.01,725
"LMM2",7,500,0.51,0.8,6,487.00545,14.158105201426,461,486,516,1,665,0.808905526113693,0.0110810986051173,0.787287560583973,0.808853977147831,0.830493713261825,1,2155,347.7451,11.0973187533825,325,348,368,1,680
"LMM2",7,500,0.51,0.8,7,507.0469,17.4461863701195,475,506,543,1.06,690,0.804755178411242,0.0122611183576391,0.780518110706217,0.804776393483335,0.828476257104404,1.02,1715,335.017,13.228241013756,308,335,360,1.05,680
"LMM2",7,500,0.51,0.8,8,513.0876,17.338816510013,481,512,549,1,695,0.820549250121669,0.0118599446664451,0.797489655035474,0.820676291221341,0.843812015459536,1,1725,312.50815,13.064316568266,286,313,336,1,770
"LMM2",7,500,0.51,0.8,9,484.258,13.2681588097938,460,484,512,1,697,0.812309357493384,0.0106989310231496,0.791361952929959,0.812355124649466,0.832825231984182,1,2330,349.75485,10.5979133448931,328,350,369,1,712
"LMM2",7,500,0.51,0.8,10,473.4289,14.1274351533178,447,473,503,1,472,0.780240151285819,0.011285670603222,0.757979540785709,0.780371439491163,0.802396899650017,1,2161,404.28165,11.0147033306382,381,405,425,1.01,544
"LMM2",7,500,0.51,0.9,1,482.0549,12.3616554925433,459,481,508,1,1650,0.883970574393832,0.00936011836951696,0.865224896976413,0.884060380873066,0.902005731034476,1,4727,206.2795,9.86254243271794,186,207,224,1,1783
"LMM2",7,500,0.51,0.9,2,510.28065,13.4712976127197,485.975,510,539,1,2492,0.918670532995459,0.00900652594574864,0.900946556186585,0.918767927549105,0.935998028210574,1,4722,140.74185,10.7319507693553,118,141,160,1,2447
"LMM2",7,500,0.51,0.9,3,487.6781,11.7259138340158,466,487,512,1,2319,0.897938154742842,0.00884241591047402,0.88029832901722,0.898067481913807,0.914867002094414,1,5266,184.54085,9.5235059791973,165,185,202,1,2296
"LMM2",7,500,0.51,0.9,4,501.21395,12.2042051166238,479,501,526,1,2047,0.903291058282464,0.00872484082049266,0.885898188513798,0.903397656578814,0.920137972832914,1,4715,176.20705,9.85118432418811,156,177,195,1,2229
"LMM2",7,500,0.51,0.9,5,508.6601,12.4413547234764,486,508,535,1,2372,0.908391267419128,0.00865346535958405,0.891139233677221,0.908464285856548,0.925312063681694,1,5218,167.40195,10.0827659551318,147,168,186,1,2284
"LMM2",7,500,0.51,0.9,6,489.97735,11.6853867882377,468,490,514,1,2168,0.903537059437323,0.00870382252610013,0.886368161881721,0.903587286953628,0.920282805812884,1,4985,175.0091,9.48119253261909,155,175,192.024999999998,1.01,2330
"LMM2",7,500,0.51,0.9,7,500.2282,13.5012643469769,476,500,528,1,2452,0.909079252233343,0.00930225688221096,0.890454074558161,0.90929514737444,0.926937089878863,1,4819,155.66395,10.6774210726906,134,156,176,1,2394
"LMM2",7,500,0.51,0.9,8,504.4592,13.3696549223844,480,504,532,1,2336,0.910614779287552,0.00918518515748577,0.892303781964554,0.910708157666179,0.928320326420796,1,4693,155.12155,10.6458744276652,133,156,175,1.01,2335
"LMM2",7,500,0.51,0.9,9,490.2686,11.2344944137792,469,490,513.024999999998,1,2303,0.901220455564177,0.00849043331309474,0.88421607080183,0.901308302422375,0.917609930191984,1,5537,183.6433,9.18061432007492,165,184,201,1,2291
"LMM2",7,500,0.51,0.9,10,480.91275,11.6466956564292,460,480,505,1,1481,0.87636289390263,0.00923109814410625,0.858005478827797,0.876437240105835,0.894412724987742,1,4069,226.87165,9.42680855398452,207,227,244,1,1442
"LMM2",7,500,0.51,0.95,1,483.4826,11.0397006748168,463,483,507,1,3580,0.933370128651457,0.00776315812516697,0.917688790701141,0.933455148791873,0.948157750993044,1,6094,117.9535,9.03775535191621,99,118,134,1,3213
"LMM2",7,500,0.51,0.95,2,504.69325,11.9878788740751,483,504,530,1,4009,0.965488362979713,0.00701840746115133,0.951616012121104,0.965571977525533,0.97904209042586,1,5252,59.26185,9.6954826953966,39,60,77,1,3690
"LMM2",7,500,0.51,0.95,3,491.8808,10.7639065605486,472,491,514,1,4226,0.952296094557537,0.00704747352408568,0.938121292403461,0.952400253159815,0.965798872613216,1,6676,85.7307,8.87724719639423,67,86,102,1,3878
