"S","N","lambda","alpha","iter","N_mean","N_sd","N_2.5","N_50","N_97.5","N_Rhat","N_n.eff","a_mean","a_sd","a_2.5","a_50","a_97.5","a_Rhat","a_n.eff","l1_mean","l1_sd","l1_2.5","l1_50","l1_97.5","l1_Rhat","l1_n.eff","l2_mean","l2_sd","l2_2.5","l2_50","l2_97.5","l2_Rhat","l2_n.eff","l3_mean","l3_sd","l3_2.5","l3_50","l3_97.5","l3_Rhat","l3_n.eff","l4_mean","l4_sd","l4_2.5","l4_50","l4_97.5","l4_Rhat","l4_n.eff","l5_mean","l5_sd","l5_2.5","l5_50","l5_97.5","l5_Rhat","l5_n.eff","nbErrTot_mean","nbErrTot_sd","nbErrTot_2.5","nbErrTot_50","nbErrTot_97.5","nbErrTot_Rhat","nbErrTot_n.eff"
5,30,0.5,0.95,11,30.4305,3.32970918074068,25,30,38,1,3102,0.933036305861113,0.036129601382591,0.854371444616331,0.935991152519899,0.992820713571143,1,5181,0.578998769833078,0.149073190554994,0.32875644973391,0.564733790965063,0.909942821614604,1,16336,0.835317866364213,0.186045824095398,0.517200757745123,0.819952696607333,1.24322995500156,1,12514,0.610445128950554,0.15374014710105,0.350722467199681,0.596388825044084,0.950078993610097,1,15737,0.578893103252758,0.149644118954417,0.327639025607837,0.564484100990478,0.909782971790392,1,17209,0.546621016031516,0.145161209691237,0.303993732962424,0.532759888178714,0.869241078753688,1,17763,5.36427142857143,2.44627248501935,0,6,9,1,2822
5,30,0.5,0.95,12,28.4904357142857,3.65490135857255,22,28,36,1,3213,0.925597940852861,0.0430724969288507,0.830909072438987,0.929870527029071,0.993839392167385,1,4777,0.688384765887038,0.176664678263844,0.392842493945732,0.670691011847117,1.08008482060726,1,12561,0.654122892644853,0.171194076724646,0.368801092513176,0.636860544589913,1.03567743396543,1,12450,0.51617774570491,0.148186748329407,0.272882640437748,0.500092568195397,0.849718256743305,1,15583,0.481724184681731,0.142399761814453,0.248982561961013,0.465709030672647,0.803475981159729,1,16913,0.481654896063246,0.142258750456311,0.250072544199621,0.465684796031518,0.802782422248378,1,16583,4.87043571428571,2.49345579287522,0,5,9,1,2900
5,30,0.5,0.95,13,28.8419,2.68876212096855,25,29,35,1,4682,0.94459646999893,0.0309300048595258,0.875440881751455,0.947786150712097,0.994119433353756,1,9004,0.675336154618216,0.162454070215951,0.398446585614224,0.661641870721125,1.03072896644733,1,29243,0.675007303891408,0.16292357707451,0.397537733257918,0.660511905781127,1.03124651659215,1,27613,0.709113559218754,0.166462020942645,0.424784984501608,0.69420760673889,1.07359876653051,1,27045,0.77650578486148,0.176276255049436,0.473332241269667,0.761655043162455,1.16071655280671,1,24357,0.573909883229788,0.148717041181101,0.32357539671885,0.560162054765998,0.903807191051521,1,31187,4.42981428571429,2.0416284176713,0,5,8,1,4604
5,30,0.5,0.95,14,27.9576714285714,4.2958282213477,22,27,38,1,1975,0.881363060819298,0.0515521394167485,0.775373270263152,0.8833778045632,0.976377120102379,1,3330,0.457973643745859,0.143304350362899,0.226716306493994,0.441589668133444,0.78324506655521,1,8970,0.704665645823119,0.187360281350236,0.390407178018954,0.686279237804654,1.12056848532082,1,6161,0.669244825486207,0.181355524594911,0.36669931833116,0.650808039525084,1.07231938389238,1,6176,0.3878584791172,0.130327607091212,0.180527623365116,0.371843598308109,0.686769802916408,1,9474,0.704625888826079,0.187090984595733,0.393020286699326,0.685982348135012,1.11981449144643,1,5999,8.48461428571429,2.97440474987979,2,9,13,1,1837
5,30,0.5,0.95,15,20.2557357142857,3.02618341905575,16,20,28,1.01,1697,0.848830357455122,0.052308087393583,0.741285751376431,0.850754958851124,0.946510436282217,1,4666,0.670525209553947,0.200889730034142,0.34062729975092,0.649294379395513,1.11898347097935,1,8436,0.382854119629687,0.145048770595619,0.156296770219627,0.36363442977593,0.716573429986629,1,13981,0.574973058572124,0.183668679641619,0.276974058166,0.554475726132037,0.989779544616248,1,9343,0.909408719123871,0.240940048978157,0.501830665585173,0.887418893180634,1.4394629043434,1,6797,1.05343261559284,0.26519382108868,0.600775473681091,1.03074381582606,1.63697200320366,1,5527,9.88277142857143,2.27209344484385,4,10,13,1,1685
5,30,0.5,0.95,16,26.1215142857143,2.12053782876641,22,26,31,1,9220,0.963326080915747,0.0265492816419547,0.899584866899117,0.968318239920035,0.998238341160054,1,16519,0.741995653519891,0.176254291165265,0.440239575140041,0.727027691300617,1.12802370682217,1,53090,0.667226150888875,0.166090415571773,0.385608227007208,0.652064862538709,1.03105649129411,1,53915,0.816303944997024,0.18580930374376,0.496878810058702,0.800400508068599,1.22319809490027,1,47825,0.333895739962539,0.114548466019441,0.149528797385905,0.320098545559563,0.59488278526415,1,77193,0.704402807017249,0.171153272527745,0.413890649325787,0.689443502292104,1.08062804930623,1,53914,2.11478571428571,1.46455634066309,0,2,5,1,8353
5,30,0.5,0.95,17,24.5298071428571,2.67639786960333,20,24,30,1,4015,0.930650469106227,0.0369611065157562,0.84964537966018,0.93392864454275,0.991703922847478,1,8622,0.791774650256365,0.194844279437919,0.46167573001524,0.774772514471482,1.2191911183913,1,19949,0.593421541543742,0.165508049781806,0.318491710382542,0.576516224236659,0.962406063542872,1,26545,0.94931190960699,0.216684502088288,0.577923457852623,0.930938456332915,1.42273574809948,1,18138,0.396039914121527,0.132268407170637,0.183592014981764,0.380422513286223,0.696005802946646,1,34927,0.632801732350659,0.171721034023525,0.346984418890836,0.615789796911155,1.01524786857554,1,22170,4.69662857142857,2.01722808026765,0,5,8,1,4127
5,30,0.5,0.95,18,31.2927571428571,3.68467931595965,25,31,39,1,5203,0.945668758250201,0.0386920601147096,0.85466044198733,0.952583962943892,0.997430500081317,1,7058,0.501633306972775,0.138953761844606,0.272041959672003,0.487036165350632,0.81331711602652,1,23014,0.502197631199272,0.138980956272891,0.272881160972324,0.487777027999061,0.81403209923012,1,24146,0.564959700245269,0.148497236387281,0.318501411757598,0.549954764678121,0.896975502295713,1,21540,0.533636630114295,0.143784566462928,0.294966505050744,0.519278489742487,0.854546844608974,1,23262,0.34464991423911,0.111750377453577,0.165314738283085,0.331407169572639,0.59895294091394,1,30252,3.07332142857143,2.16961000897019,0,3,7,1,4088
5,30,0.5,0.95,19,28.34595,4.0851108498517,22,28,38,1,1917,0.894917495547028,0.0477258752948788,0.796209934099582,0.896745618340225,0.981793583567726,1,3327,0.763794048019384,0.192537677386333,0.439131077394461,0.745306433188637,1.19078049812897,1,6255,0.450495931342898,0.13933848671436,0.223662974914101,0.434723652011303,0.764712542716672,1,9840,0.694206634111116,0.180818543168042,0.391414946320171,0.677008642187062,1.09472560926275,1,7195,0.728962604992308,0.186973300412051,0.414736823387786,0.711600098513868,1.14011269113091,1,6621,0.381269322634106,0.126235348833736,0.180060044701837,0.366406733374569,0.669721177044903,1,11038,7.82717142857143,2.90218964452513,1,8,12,1.01,1852
5,30,0.5,0.95,20,31.1561357142857,3.30460603859273,26,31,38,1,3722,0.944091883462691,0.035021634171512,0.865245781589176,0.948423009090361,0.996383731620609,1,5626,0.65981880275104,0.159311137783077,0.390686149497817,0.645272150406541,1.01201225732735,1,18546,0.596259360899962,0.150040288305211,0.342566793724656,0.582412745783296,0.925915572126785,1,19894,0.565518383622717,0.14531603099476,0.322583582141284,0.551833498554733,0.888286040922758,1,19978,0.565610820793944,0.145465874523088,0.321140020824755,0.551786647370861,0.888247514083546,1,21095,0.534260757739517,0.141227282779152,0.298665140392729,0.520398793622928,0.848250550914826,1,21693,4.03222857142857,2.28949437098829,0,4,8,1,3009
5,30,0.5,0.95,21,28.0065357142857,3.85661944244193,21,28,36,1,4494,0.933775284206062,0.0457901876174761,0.827539744303381,0.941187828506829,0.996710263460236,1,6050,0.631562753230048,0.172201565484181,0.349261558076641,0.612811695872776,1.01981945200679,1,15707,0.596590712142514,0.166205747075621,0.324379726440849,0.578930564303659,0.971460089368911,1,16008,0.526671272006534,0.153766391780742,0.276965127148144,0.50950475564933,0.876735691295481,1,17788,0.315748378403171,0.114397740239325,0.137053891500567,0.300577955655185,0.57922480093065,1,24352,0.315249051809569,0.113924504690976,0.137641497070121,0.30031278139661,0.578277906049315,1,25581,3.31387142857143,2.23490948443447,0,3,8,1,3931
5,30,0.5,0.95,22,24.5086142857143,3.23556362946399,20,24,32,1,2780,0.90841140080912,0.0447505960014187,0.812640810111948,0.911315827509752,0.986267661473488,1,5681,0.676226614259335,0.18455550639233,0.368821770414162,0.657833613660176,1.08709728586161,1,12675,0.676477589611245,0.184319259824085,0.370690437207295,0.657897741813704,1.08634755422974,1,13609,0.477613817897188,0.15011443482636,0.234254886473067,0.460276943231338,0.816703527678659,1,16414,0.636405796976175,0.178195814389374,0.342138038596078,0.617862590589315,1.03623023139296,1,12955,0.716271250078948,0.191271222561884,0.398527075845131,0.697667373991069,1.1426540571548,1,12225,6.04952142857143,2.3861675215577,1,6,10,1,2902
5,30,0.5,0.95,23,30.0404428571429,3.76051207948556,23,30,38,1,4601,0.940972849428202,0.0411458838701577,0.845199825889454,0.947619395311711,0.997304266459428,1,5812,0.718870133168382,0.177724588060362,0.421751343034605,0.701395367397318,1.11629091443443,1,15332,0.424706344985708,0.129405273433468,0.21509642384853,0.410136677778459,0.717506214964973,1,22746,0.556098478281894,0.151711788985186,0.305385437638395,0.540753386019671,0.897795958054943,1,17741,0.425372180500998,0.129162687861152,0.216962914307795,0.410565992795982,0.718425091273506,1,22933,0.326581186988917,0.111390175572972,0.149859299162224,0.312998928525781,0.581553687493719,1,25096,3.25276428571429,2.21835742214028,0,3,8,1,3533
5,30,0.5,0.95,24,26.6049642857143,3.33359165235886,21,26,34,1,3886,0.928424465602509,0.0420940369543888,0.834975479736725,0.932848676661838,0.994182323377731,1,6550,0.587355534142652,0.163319195488554,0.316558123163249,0.571123227377349,0.951805518514564,1,17534,0.587459225008878,0.163847256830721,0.317215662466537,0.5705898509874,0.953205071246571,1,17966,0.661679121943052,0.175743081019713,0.370329363507266,0.644145798541081,1.05442345330331,1,15916,0.661564455967706,0.175579471690195,0.369466341396748,0.644130424028683,1.05351436166858,1,16346,0.403475141619283,0.131748854814616,0.192733475506849,0.387787817914331,0.703564031467365,1,23429,4.43094285714286,2.29973856330968,0,5,8,1,3630
5,30,0.5,0.95,25,31.6841142857143,4.38038766872747,24,31,41,1,2752,0.919437166429265,0.0461706941154368,0.818758107302759,0.923658749168686,0.993156715408303,1,3855,0.653595367400907,0.168104226330933,0.374721836024453,0.636336026910772,1.02801260809302,1,9275,0.621870618374737,0.162213010085776,0.35255525561678,0.605163680597497,0.98233493519969,1,9768,0.466781286388167,0.136322822641215,0.244249203615141,0.451564839586324,0.775607776367162,1,11957,0.436033146774055,0.130541556279988,0.224024997587605,0.420855684840094,0.731490675408621,1,12279,0.435626997499166,0.131111504303074,0.22384536420381,0.420592415908885,0.734728420241731,1,12604,5.52045714285714,2.86158996693396,0,6,11,1,2406
5,30,0.5,0.95,26,27.3110642857143,3.90271855124597,21,27,36,1,3391,0.92000767641636,0.0484800515153379,0.812498149243161,0.925300197749583,0.99432913338219,1,4710,0.611892393420726,0.171598734690007,0.331429537561903,0.593043360573004,0.99858191353458,1,12058,0.612040945842641,0.17189447796841,0.330561348994823,0.593218926692264,0.998639820569037,1,11911,0.575568935542812,0.164645479762966,0.306690300624253,0.5573183954129,0.949787049738912,1,13021,0.432183064543168,0.138669732667817,0.209630067057896,0.415627660595572,0.746725475211189,1,16000,0.359850801697761,0.124981856887044,0.163340445162514,0.343936822447641,0.647782544249681,1,18543,4.52054285714286,2.51121089875416,0,5,9,1,3086
5,30,0.5,0.95,27,24.3402285714286,3.77936551391652,19,24,33,1,1764,0.882908053988233,0.0521302326155003,0.774239607853971,0.885162310027693,0.977758910614387,1,3668,0.643982340324165,0.185985177369473,0.339033610933567,0.624284313050157,1.05985297560649,1,7158,0.483110700782964,0.156177993511147,0.231982530352123,0.464652658839893,0.840254553048514,1,9168,0.684989484354585,0.193341598629377,0.366808633925597,0.664706688831858,1.1180342574673,1,6680,0.685297752388802,0.193319760736527,0.366352174990433,0.665532784623289,1.11631719136363,1,6694,0.563898548490718,0.171189774521491,0.285704594762318,0.545414105770398,0.952305503142368,1,7673,7.55814285714286,2.6745491881226,1,8,12,1,1832
5,30,0.5,0.95,28,31.6888928571429,5.42862531820619,23,31,44,1,1382,0.878360523975447,0.0564637117647669,0.763514840723405,0.879618033729772,0.983353019419027,1,2183,0.56462273209596,0.161610252736236,0.300336415300606,0.547053791899061,0.927677817282461,1,4341,0.470547743389643,0.143258700105984,0.239523333638895,0.453769469392084,0.794851739729892,1,4954,0.502643412926467,0.149729532157132,0.25913705673395,0.485882065917917,0.83985132721678,1,4564,0.53368527173242,0.155796008440778,0.280348937474121,0.516253917963817,0.883784536186497,1,4571,0.56474552339133,0.161229350015794,0.301364160401243,0.547862553616306,0.926133972382763,1,4107,8.85199285714286,3.54394725810785,1,9,15,1,1387
5,30,0.5,0.95,29,26.0150071428571,2.86026428737008,21,26,32,1,5897,0.946037431852049,0.0366853833785592,0.86096218319445,0.951949763756209,0.997140346203215,1,8921,0.71164700910943,0.180466876066695,0.40818238083366,0.693919679930074,1.11147345408541,1,27687,0.711241232701604,0.180130512962633,0.409679401719137,0.694117886779118,1.11107442665155,1,25951,0.56175563464283,0.157169204360567,0.301933531540826,0.545579029193924,0.914880683106393,1,29368,0.336678697507371,0.11807569059846,0.148413333734015,0.32221916800898,0.608222413780459,1,46176,0.523494932046133,0.150768459302902,0.275660031316808,0.507897331235505,0.861851935335932,1,31835,2.93923571428571,1.88489793407201,0,3,6,1,5103
5,30,0.5,0.95,30,31.2595,3.08740517155784,26,31,38,1,5966,0.953091756668114,0.0323467800126769,0.877939398289308,0.958334144217561,0.997601920325802,1,8507,0.562529848741387,0.143786308115955,0.320888380454775,0.548944600835114,0.881308481546967,1,30929,0.750938096871495,0.169552820311102,0.461301792404322,0.736175740865745,1.12320037553477,1,25701,0.500433040263827,0.134103431542359,0.276328380796779,0.487652428972911,0.798388571848525,1,36106,0.563262496971486,0.14409758840139,0.321567400515872,0.5492189062605,0.88275761314458,1,31979,0.437698393769229,0.124391791034284,0.233115047981353,0.424774492024414,0.716053220769123,1,38367,3.07472142857143,2.03010812603438,0,3,7,1,4796
5,30,0.5,0.95,31,31.0493285714286,5.23991193598492,23,30,42,1.02,1720,0.894393840930382,0.0563779590308425,0.775810059989359,0.897743313175474,0.989987628014059,1.01,2276,0.51184020779124,0.153039941531377,0.265332731111279,0.494113549891852,0.859239028506611,1.01,5776,0.672086316985971,0.183330841609953,0.372313942807556,0.652106474707808,1.08383561148983,1.01,4303,0.575989043198604,0.164606192596091,0.3084066503187,0.556852496065191,0.947668522699488,1.01,5033,0.28840440237449,0.107502587258627,0.122164376476622,0.273660312274174,0.538425435568233,1,8001,0.416105982715462,0.134386127225414,0.20318488425734,0.399621564528545,0.725114773285959,1,6245,6.81447857142857,3.26101330235981,0,7,12,1.02,1512
5,30,0.5,0.95,32,22.3688142857143,3.24703071653814,18,22,30,1,2728,0.895804746133582,0.0497859828841885,0.790295732172471,0.898862589920474,0.983427383914453,1,5327,0.653424034615115,0.190305793742116,0.341761951727763,0.633270905757767,1.08051222661151,1,11707,0.740472125768626,0.205827921600045,0.398891257764468,0.719619183614672,1.19880929307513,1,11070,0.435334995756782,0.149707859384976,0.197411032332889,0.416911994634338,0.777974974943527,1,15558,0.740517048301576,0.205521912068562,0.400284613595785,0.719226969896213,1.19944288127591,1,10570,0.566441107782738,0.175348698470224,0.281994982347321,0.546834602649216,0.96137949231457,1,13752,6.19762142857143,2.35078244438165,1,7,10,1,2729
5,30,0.5,0.95,33,29.6991285714286,3.85313929558757,23,30,38,1,4986,0.940670310756556,0.04281268367934,0.839414217712136,0.948447569384247,0.997416939624205,1,6416,0.396545821401142,0.125605944853705,0.194267607203905,0.382021636727984,0.681739422033775,1,23989,0.463239393635817,0.137768904643781,0.238657720348807,0.44821635033557,0.773619868074163,1,21349,0.496541765398131,0.143655276078926,0.262566730610142,0.480925770525619,0.820490838325553,1,19511,0.628539513189441,0.165746025578293,0.355074281984391,0.611187703244118,1.000556990613,1,16159,0.330303450497633,0.113042399365495,0.151116520183803,0.316096345121431,0.591089643417966,1,28069,2.97752142857143,2.15306906471754,0,3,7,1,3800
5,30,0.5,0.95,34,30.11635,4.39425199574935,23,30,40,1,2419,0.912013147893023,0.0488675698603605,0.807121081124886,0.915658806046707,0.992360159036324,1,3569,0.556535573484636,0.156579635059269,0.29915193581046,0.53976894332007,0.908135928076808,1,8825,0.556735079004355,0.15656397491914,0.300840329870802,0.539326141082491,0.90768591349625,1,8993,0.589863545474981,0.162019442421596,0.32299541464756,0.572468926216842,0.954980566405771,1,8295,0.491474739663493,0.14490714103948,0.256154330068456,0.475128553135615,0.818938509309597,1,10199,0.458585375240724,0.13911392209114,0.233945718057815,0.442733747301801,0.774442923865003,1,10718,5.85854285714286,2.90893825090948,0,6,11,1,2199
5,30,0.5,0.95,35,30.5918571428571,3.01636467054381,25,30,37,1,7652,0.959077022619277,0.0313918877882094,0.882555825779672,0.965702529533541,0.998419169104387,1,10634,0.574741978017868,0.146630827861784,0.327717231819068,0.561288475253353,0.899233268225364,1,37392,0.383212763749688,0.116881618763389,0.19232959393373,0.370567630009222,0.647394733675765,1,48367,0.447326315829939,0.127321284226873,0.23738488098044,0.434342641943171,0.733477205495228,1,43423,0.703039340414108,0.165168738438025,0.421968141587589,0.68850886353409,1.0675174035582,1,32703,0.478558639699036,0.132260469531762,0.259383880863685,0.46530915821276,0.774568985090251,1,43803,2.18766428571429,1.73840550561865,0,2,6,1,5941
5,30,0.5,0.95,36,29.53735,4.0532078348458,23,29,38,1,2731,0.920094675133341,0.0460337064263371,0.819376004001497,0.924409855420477,0.993337605300973,1,4129,0.433331064371562,0.13386163400515,0.216620326984646,0.41812839241674,0.736619540880018,1,13237,0.599618267337823,0.162718916814239,0.331129759309693,0.582542736787715,0.964572497117838,1,10471,0.665802349421356,0.172988233120666,0.378543150170024,0.648060882906738,1.05129239086204,1,8822,0.333061504558096,0.114672939770561,0.151189491666335,0.318499022641862,0.597060568610242,1,16700,0.665706781934803,0.173532895081906,0.378264680337446,0.648343685896564,1.05290544634412,1,10048,5.22921428571429,2.70246424171454,0,5,10,1,2522
5,30,0.5,0.95,37,33.9979142857143,5.05510134490824,25,34,45,1,2526,0.919277071425844,0.0493995208756262,0.810321055458142,0.924772865675354,0.994634793410099,1,3131,0.496189144930226,0.140701573842555,0.267345788204678,0.480635856101099,0.815037808909962,1,8496,0.496435721792151,0.141194363121679,0.266937733322853,0.480626531553302,0.815569954246019,1,8627,0.495821650155609,0.141429901254282,0.26531905893461,0.479471025825115,0.815905941506118,1,8602,0.320553276889709,0.108062145892608,0.149908091905687,0.306672826933924,0.569119155211633,1,11393,0.55399434985986,0.151269620228685,0.306788208292305,0.537430120408188,0.894934012148863,1,7764,5.29009285714286,3.03801237690517,0,5,11,1,2058
5,30,0.5,0.95,38,26.0553928571429,4.26196097781981,19,26,35,1,3211,0.911830203248549,0.0553502421525615,0.788032731408301,0.918556616650909,0.994456792230325,1,4768,0.188861724694164,0.0902219450608786,0.0583962661343593,0.173864740625048,0.404622169760224,1,27160,0.492056917979853,0.157959654854196,0.240352035047997,0.472387915870427,0.854023107506757,1,12080,0.643608091509617,0.187577355156674,0.340179689344469,0.622177287223991,1.06903870113701,1,9346,0.568093634286724,0.172732603511514,0.290443808599719,0.547664932464418,0.963537883055217,1,10712,0.491659983576981,0.15730978524542,0.241989415405073,0.472182716988129,0.854019935270183,1,11685,4.28217857142857,2.5195916390753,0,4,9,1.01,2809
